Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
The A.V. Club,2022-8-18,"Justin H. Min, Sherry Cola, and Ally Maki join the cast of Randall Park's directorial feature debut Shortcomin","Randall Park's directorial feature debut has confirmed its cast after 
shooting earlier this summer. As reported by Variety, Shortcomings is...","Justin H. Min , Sherry Cola , Ally Maki join cast Randall Park 's directorial feature debut Shortcomin","Randall Park 's directorial feature debut confirmed cast shooting earlier summer . As reported Variety , Shortcomings ...",English,https://www.avclub.com/justin-h-min-sherry-cola-ally-maki-star-in-shortcomings-1849481429,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2b69d317bc7e63068154a6546f9b7a751a8b2be983bd5898ed.jpeg,Unknown,Unknown,True
MarketWatch,2022-8-17,How big a Social Security COLA can retirees expect in 2023?,"The time has come to speculate about Social Security's cost-of-living 
adjustment (COLA) for 2023. Automatic indexing of benefits to keep up...",How big Social Security COLA retirees expect 2023 ?,The time come speculate Social Security 's cost-of-living adjustment ( COLA ) 2023 . Automatic indexing benefits keep ...,English,https://www.marketwatch.com/story/how-big-a-social-security-cola-can-retirees-expect-in-2023-11661615640,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2bf444b2d65449721e2bb9b88183f8457bb2cf2f250dfabda2.jpeg,Unknown,Unknown,True
KALB,2022-8-17,"Coca-Cola driver safe after being briefly taken by two armed suspects, police also search for a second stolen vehicle","ALEXANDRIA, La. (KALB) - The Alexandria Police Department said a Coca-Cola 
truck driver is safe after he and his truck were briefly taken by...","Coca-Cola driver safe briefly taken two armed suspects , police also search second stolen vehicle","ALEXANDRIA , La . ( KALB ) - The Alexandria Police Department said Coca-Cola truck driver safe truck briefly taken ...",English,https://www.kalb.com/2022/08/31/coca-cola-driver-safe-after-being-briefly-taken-by-two-armed-suspects-police-also-search-second-stolen-vehicle/,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2bcd94727b7507380632b54a5108f151793c4cadd2310e359c.jpeg,Unknown,Unknown,True
Federal News Network,2022-8-17,Pay raise vs. COLA: The 2-year solution!,"Life's a series of choices. Some easier and more important than others. 
Like when are you gonna retire? Does it really matter?",Pay raise vs. COLA : The 2-year solution !,Life 's series choices . Some easier important others . Like gon na retire ? Does really matter ?,English,https://federalnewsnetwork.com/mike-causey-federal-report/2022/08/pay-raise-vs-cola-the-2-year-solution-2/,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2b2e8e2f9f8d392fa15401adcd5a03e8556910d1f8d1443236.jpeg,Unknown,Unknown,True
CNBC,2022-8-17,"Here are Wednesday's biggest analyst calls: Apple, Snap, Robinhood, Coca-Cola, PayPal & more","Here are Wednesday's biggest analyst calls: Apple, Snap, Robinhood, 
Coca-Cola, PayPal & more. Published Wed, Aug 31 20228:45 AM EDT Updated 
Moments Ago.","Here Wednesday 's biggest analyst calls : Apple , Snap , Robinhood , Coca-Cola , PayPal &","Here Wednesday 's biggest analyst calls : Apple , Snap , Robinhood , Coca-Cola , PayPal & . Published Wed , Aug 31 20228:45 AM EDT Updated Moments Ago .",English,https://www.cnbc.com/2022/08/31/wednesday-top-analyst-calls-apple-snap-robinhood-coca-cola-paypal.html,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2bdb1d4383d2fe1ebafb3fef029787e9f90db7621a79022935.jpeg,Unknown,Unknown,True
Variety,2022-8-17,"Randall Park’s Directorial Debut ‘Shortcomings’ to Star Justin H. Min, Sherry Cola and Ally Maki (EXCLUSIVE)","Randall Park has cast Justin H. Min, Sherry Cola and Ally Maki to star in 
his directorial debut ""Shortcomings.""","Randall Park ’ Directorial Debut ‘ Shortcomings ’ Star Justin H. Min , Sherry Cola Ally Maki ( EXCLUSIVE )","Randall Park cast Justin H. Min , Sherry Cola Ally Maki star directorial debut `` Shortcomings . ''",English,https://variety.com/2022/film/news/randall-park-shortcomings-cast-justin-h-min-sherry-cola-ally-maki-1235354742/,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2b2f9db77f82d5a021b402f31663b8112af3cd3f666649a7e0.jpeg,Unknown,Unknown,True
The Motley Fool,2022-8-17,Retirees May See a Monster Increase in Social Security Benefits in 2023,"Social Security benefits are on pace for the largest cost-of-living 
adjustment (COLA) in decades.",Retirees May See Monster Increase Social Security Benefits 2023,Social Security benefits pace largest cost-of-living adjustment ( COLA ) decades .,English,https://www.fool.com/investing/2022/08/29/retirees-may-see-monster-social-security-increase/,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2b914a5d9bafab692b0477303087b316c883ca63d4c22935db.jpeg,Unknown,Unknown,True
EssentiallySports,2022-8-17,"“This Is Like Fact” – Controversial Podcaster Joe Rogan Says $271 Billion Giant Coca-Cola Is Lacing Their Soda With ‘Cocaine’ in 2022, and Then Backtracks","Spotify podcast host Joe Rogan talked presence of 'cocaine' in Coca-Cola in 
2022 and gave two polar opposite opinions before settling to...","“ This Is Like Fact ” – Controversial Podcaster Joe Rogan Says $ 271 Billion Giant Coca-Cola Is Lacing Their Soda With ‘ Cocaine ’ 2022 , Then Backtracks",Spotify podcast host Joe Rogan talked presence 'cocaine ' Coca-Cola 2022 gave two polar opposite opinions settling ...,English,https://www.essentiallysports.com/ufc-mma-news-this-is-like-fact-controversial-podcaster-joe-rogan-says-271-billion-giant-coca-cola-is-lacing-their-soda-with-cocaine-in-2022-and-then-backtracks/,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2bbb7576ab1d9aa35f52d8e98c1b3472299ee7632750b4cf4d.jpeg,Unknown,Unknown,True
Cruise Industry News,2022-9-11,Norwegian Cruise Line Announces Beverage Partnership With Coca-Cola,"As first reported by Cruise Industry News, Norwegian Cruise Line has 
announced a partnership with Coca-Cola, making it official via press...",Norwegian Cruise Line Announces Beverage Partnership With Coca-Cola,"As first reported Cruise Industry News , Norwegian Cruise Line announced partnership Coca-Cola , making official via press ...",English,https://www.cruiseindustrynews.com/cruise-news/28165-norwegian-cruise-line-announces-beverage-partnership-with-coca-cola.html,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2bed1511aa5187ba158c62e81c8d709691f5aecd8557b46f38.jpeg,Unknown,Unknown,True
Cruise Fever,2022-9-14,Norwegian Cruise Line Switching to Coca-Cola,"Norwegian Cruise Line has signed a beverage partnership with Coca-Cola and 
the world's #1 soft drink is debuting on the cruise line's newest...",Norwegian Cruise Line Switching Coca-Cola,Norwegian Cruise Line signed beverage partnership Coca-Cola world 's # 1 soft drink debuting cruise line 's newest ...,English,https://cruisefever.net/norwegian-cruise-line-switching-to-coca-cola/,https://serpapi.com/searches/63111cf0af5af15a00149792/images/3bf5f712e0d1da2b4ee0a59d33390dfc7063c596dd8db99b9178c8f32465461a.jpeg,Unknown,Unknown,True
